painter,painterLabel,date_of_birth,image,place_of_birth,place_of_birthLabel,movement,movementLabel,lon,lat,latlon,annee,mois,heure
http://www.wikidata.org/entity/Q157321,Francis Picabia,1879-01-22T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Francis%20Picabia%2C%20photograph%20published%20in%20Les%20Peintres%20Cubistes%2C%201913.jpg,http://www.wikidata.org/entity/Q90,Paris,http://www.wikidata.org/entity/Q6034,Dada,2.352222222,48.85666667,"48.856666666,2.352222222",1879,1,22T00:00:00Z
http://www.wikidata.org/entity/Q46139,Man Ray,1890-08-27T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Man%20Ray%20Salvador%20Dali%20%28cropped%29.jpg,http://www.wikidata.org/entity/Q1345,Philadelphia,http://www.wikidata.org/entity/Q6034,Dada,-75.16361111,39.95277778,"39.952777777,-75.163611111",1890,8,27T00:00:00Z
http://www.wikidata.org/entity/Q153739,Jean Arp,1886-09-16T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Hans%20Arp.JPG,http://www.wikidata.org/entity/Q6602,Strasbourg,http://www.wikidata.org/entity/Q6034,Dada,7.752222222,48.57333333,"48.573333333,7.752222222",1886,9,16T00:00:00Z
http://www.wikidata.org/entity/Q154842,Max Ernst,1891-04-02T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Max%20Ernst%201968.jpg,http://www.wikidata.org/entity/Q7036,Brühl,http://www.wikidata.org/entity/Q6034,Dada,6.9,50.83333333,"50.833333333,6.9",1891,4,02T00:00:00Z
http://www.wikidata.org/entity/Q5912,Marcel Duchamp,1887-07-28T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Marcel%20Duchamp%2001.jpg,http://www.wikidata.org/entity/Q475617,Blainville-Crevon,http://www.wikidata.org/entity/Q6034,Dada,1.300833333,49.50333333,"49.503333333,1.300833333",1887,7,28T00:00:00Z
http://www.wikidata.org/entity/Q435558,Suzanne Duchamp,1889-10-20T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Louise%20Norton-Var%C3%A8se%2C%20Edgard%20Var%C3%A8se%2C%20Suzanne%20Duchamp%2C%20Jean%20Crotti%2C%20and%20Mary%20Reynolds.jpg,http://www.wikidata.org/entity/Q475617,Blainville-Crevon,http://www.wikidata.org/entity/Q6034,Dada,1.300833333,49.50333333,"49.503333333,1.300833333",1889,10,20T00:00:00Z
http://www.wikidata.org/entity/Q93692,Élisabeth Sophie Chéron,1648-10-03T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/%C3%89lisabeth-Sophie%20Ch%C3%A9ron.jpg,http://www.wikidata.org/entity/Q90,Paris,http://www.wikidata.org/entity/Q9730,classical music,2.352222222,48.85666667,"48.856666666,2.352222222",1648,10,03T00:00:00Z
http://www.wikidata.org/entity/Q717141,Georges Migot,1891-02-27T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Georges%20Migot%20compositeur%201.jpg,http://www.wikidata.org/entity/Q169293,11th arrondissement of Paris,http://www.wikidata.org/entity/Q9730,classical music,2.379305555,48.85867778,"48.858677777,2.379305555",1891,2,27T00:00:00Z
http://www.wikidata.org/entity/Q5233,François-Édouard Picot,1786-10-17T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Fran%C3%A7ois-Edouard%20Picot%20BNF%20Gallica.jpg,http://www.wikidata.org/entity/Q90,Paris,http://www.wikidata.org/entity/Q14378,neoclassicism,2.352222222,48.85666667,"48.856666666,2.352222222",1786,10,17T00:00:00Z
http://www.wikidata.org/entity/Q5233,François-Édouard Picot,1786-10-17T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Picot%2C%20Fran%C3%A7ois%20Edouard.jpg,http://www.wikidata.org/entity/Q90,Paris,http://www.wikidata.org/entity/Q14378,neoclassicism,2.352222222,48.85666667,"48.856666666,2.352222222",1786,10,17T00:00:00Z
http://www.wikidata.org/entity/Q83155,Jacques-Louis David,1748-08-30T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/David%20Self%20Portrait.jpg,http://www.wikidata.org/entity/Q90,Paris,http://www.wikidata.org/entity/Q14378,neoclassicism,2.352222222,48.85666667,"48.856666666,2.352222222",1748,8,30T00:00:00Z
